id	smiles	MQN	Emol	Ekat	HOMO	LUMO	I	n
mol2908	CC=C(C(C)CC#C)C1(CN1)C#C	[12, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 13, 7, 1, 2, 3, 0, 0, 3, 1, 1, 1, 1, 0, 0, 4, 4, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	-520,216602	-519,9246663	-0,20389	-0,03241	0,2919357	4,73
mol2909	CC1C2OC3C2OC1(C=NO)C3=C	[9, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 13, 3, 2, 0, 10, 0, 0, 1, 7, 4, 1, 1, 0, 0, 3, 2, 0, 0, 2, 5, 1, 0, 1, 2, 0, 0, 0, 0, 0, 5, 4]	-629,1767214	-628,8763883	-0,20475	-0,06621	0,3003331	4,49
mol2910	CC=C1CCCC2CN(N)C(=N)N12	[9, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 13, 2, 2, 0, 10, 0, 0, 0, 4, 4, 3, 2, 0, 0, 3, 1, 0, 0, 4, 5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1]	-570,8983612	-570,6398106	-0,16523	-0,00887	0,2585506	4,67
mol2911	CC12CC(O)C3(CC3)C3NC1CC23	[11, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 13, 2, 0, 0, 14, 0, 0, 0, 3, 2, 2, 2, 0, 0, 2, 0, 0, 0, 5, 4, 2, 1, 1, 2, 1, 0, 0, 0, 0, 7, 7]	-558,6470999	-558,382522	-0,16261	-0,0211	0,2645779	4,7
mol2912	CCN1C(=N)SC=C1C1CC1O	[8, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 12, 4, 1, 0, 6, 2, 0, 2, 4, 3, 2, 2, 0, 0, 3, 1, 0, 0, 3, 5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-894,2150945	-893,9660817	-0,15601	-0,01964	0,2490128	4,39
mol2913	CC1C2NC1C1(CC(=O)C1)C(C)=C2	[11, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 13, 2, 1, 0, 11, 1, 0, 0, 3, 2, 1, 1, 0, 0, 3, 0, 0, 0, 4, 5, 1, 0, 2, 0, 2, 0, 0, 0, 0, 7, 8]	-557,4483322	-557,1676587	-0,18902	-0,05752	0,2806735	4,28
mol2914	CNC12CC(C1)CONC(=O)C2C	[9, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 13, 3, 1, 0, 10, 0, 0, 1, 6, 4, 2, 2, 0, 0, 3, 1, 0, 0, 5, 3, 1, 0, 1, 0, 0, 0, 2, 0, 0, 9, 10]	-611,7536928	-611,4716833	-0,18806	-0,04142	0,2820095	4,55
mol2915	OCC1NCCOCC=C1C=O	[8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 12, 3, 1, 0, 7, 1, 0, 2, 7, 4, 2, 2, 0, 0, 2, 2, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	-592,3840097	-592,1103585	-0,17857	-0,08485	0,2736512	3,86
mol2916	CCC(C)(C)N1N(C)N=CC1=N	[8, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 12, 6, 1, 0, 3, 2, 0, 2, 4, 4, 1, 1, 0, 0, 5, 1, 0, 1, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-532,806418	-532,5387846	-0,16755	-0,06272	0,2676334	4,15
mol2917	COC(C)C1(C)NCS(=O)(=O)C1C	[8, 0, 0, 0, 0, 1, 0, 0, 1, 3, 0, 13, 6, 2, 0, 5, 0, 0, 2, 7, 4, 1, 1, 0, 0, 6, 1, 1, 0, 2, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-992,7916331	-992,5013515	-0,19488	0,0123	0,2902816	5,41
mol2918	CC=C1OCOCC2CC(N2)C=C1	[10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 13, 1, 1, 0, 11, 1, 0, 0, 5, 3, 1, 1, 0, 0, 1, 1, 0, 0, 8, 3, 0, 0, 1, 0, 0, 0, 0, 0, 2, 11, 12]	-594,4160987	-594,1544981	-0,1766	-0,06505	0,2616006	3,83
mol2919	CN1C2C=CC(N)C(N)(C2N)C1=O	[8, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 13, 4, 1, 0, 8, 1, 0, 0, 6, 5, 6, 3, 0, 0, 5, 0, 0, 0, 2, 5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 2]	-606,6168291	-606,3563276	-0,17039	-0,04599	0,2605015	4,14
mol2920	CC1CN2CCC=CCC2CN1	[10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 12, 1, 0, 0, 11, 1, 0, 0, 2, 2, 1, 1, 0, 0, 1, 0, 0, 0, 8, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1]	-500,7600665	-500,5015496	-0,16256	-0,01528	0,2585169	4,61
mol2921	C=CC=CC=NN=C1CNNC1=O	[8, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 13, 3, 5, 0, 5, 0, 0, 3, 6, 5, 2, 2, 0, 0, 2, 6, 0, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-604,3384129	-604,0725196	-0,18612	-0,1071	0,2658933	3,25
mol2922	OCC(C=C)C1=NN=CCC1	[8, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 11, 4, 1, 0, 4, 2, 0, 3, 4, 3, 1, 1, 0, 0, 2, 2, 1, 0, 5, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	-496,1463812	-495,8542275	-0,19347	-0,0765	0,2921537	4,28
mol2923	NC1C2NN=CC=CC1C(N)C2=C	[9, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 13, 2, 1, 0, 9, 2, 0, 0, 4, 4, 5, 3, 0, 0, 3, 0, 0, 0, 5, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0, 3, 2]	-569,591666	-569,3352097	-0,1663	-0,05505	0,2564563	3,97
mol2924	CC1C=NOC(=O)C2NC(=N)OC12	[7, 0, 0, 0, 0, 0, 0, 1, 2, 1, 2, 13, 1, 2, 0, 10, 1, 0, 0, 9, 6, 2, 2, 0, 0, 3, 0, 0, 0, 5, 5, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1]	-661,2977025	-660,9821709	-0,21194	-0,10051	0,3155316	4,33
mol2925	CC(O)C(=CCO)C1=CC=C(O)N1	[9, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 13, 7, 1, 0, 3, 2, 0, 3, 7, 4, 4, 4, 0, 0, 4, 2, 2, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-630,4793501	-630,2374156	-0,15055	-0,04566	0,2419345	3,91
mol2926	CCC1OC(=O)C2CN(C=NN)C12	[8, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 13, 4, 2, 0, 8, 0, 0, 2, 7, 5, 2, 1, 0, 0, 3, 3, 0, 0, 2, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 1]	-626,6414749	-626,3805563	-0,15733	-0,03171	0,2609186	4,53
