id	smiles	Carbon	Cyclic nitrogen	Heavy atoms	Acyclic double bonds	Cyclic single bonds	Cyclic double bonds	H-bond acceptor sites	H-bond acceptor atoms	Cyclic divalent nodes	Cyclic trivalent nodes	n
mol2949	CC1NC1C1C(O)C1(O)C(=C)CN	9	1	13	1	6	0	6	4	1	4	4.58
mol2950	CN1CC(CNCCC(=O)C#N)C1	9	1	13	1	4	0	5	4	2	2	3.39
mol2951	C=NN=C1NOC2(CC2C#C)O1	7	1	12	2	8	0	7	5	4	2	4.66
mol2952	C=CC12CC(NC1=N)(C#C)C1OC21	10	1	13	2	10	0	4	3	3	3	4.97
mol2953	NCC#CC12CNC1CC1CN2C1	10	2	13	0	11	0	3	3	5	3	4.65
mol2954	CCCOC(COC=C)C1NC1C	10	1	13	1	3	0	5	3	1	2	4.89
mol2955	CCN(NC)C1=NCCC1(C)CO	9	1	13	0	4	1	5	4	3	1	4.82
mol2956	CC1(CNC2CCOC2)OCC1N	9	0	13	0	9	0	6	4	6	2	5.15
mol2957	CC(C)CC#CC(C=NN)=NO	8	0	12	2	0	0	5	4	0	0	3.96
mol2958	OC1CC2(CC(=O)C=C2)C1C#N	9	0	12	1	8	1	5	3	4	3	4.48
mol2959	NN=C1C(CC2=NC(=O)SN12)C=C	7	2	13	3	7	2	6	5	3	5	3.94
mol2960	CCC1=CC2NC(=O)CCC2OC1	10	1	13	1	10	1	5	3	6	4	4.88
mol2961	CCC12C(O)C3C(N3CC1=O)C2=O	9	1	13	2	10	0	7	4	1	6	4.22
mol2962	CC1(O)CS(=O)(=O)C=C1NC(N)=N	6	0	13	3	4	1	9	6	2	1	4.36
mol2963	CC1(CCON=CC(N)=N)CCN1	8	1	13	2	4	0	6	5	3	0	3.86
mol2964	CC1(C)CCC(O)C(C)(N1)C#C	10	1	12	0	6	0	3	2	3	1	5.38
mol2965	CC1NC11C2CC2C=CC1=NN=C	10	1	13	2	10	1	3	3	4	4	3.87
mol2966	CC(C)C=C1OC=C(C)C1ON=C	10	0	13	2	4	1	5	3	2	3	4.31
mol2967	CCOC1OC=CCN2CC1(C)C2	10	1	13	0	9	1	5	3	6	2	4.79
mol2968	CC12CC1CC1CC(C)(N)C1O2	10	0	12	0	11	0	3	2	4	3	5.36
mol2969	CC1=C2CC(N)CC=NN2C(O)=C1	9	2	13	0	8	3	5	4	5	5	3.70
mol2970	CC1C2C3(C)CC2(O)C(N)C1C3C	11	0	13	0	10	0	3	2	1	5	5.62
mol2971	OC1C2=CC3C4CC1(CC34)OC2	10	0	12	0	13	1	4	2	5	5	4.28
mol2972	CN1C2CC3C2C(=NO)C2C1CN32	9	2	13	1	13	0	5	4	2	8	4.41
mol2973	CC1=C(C)C(=N)NC(C=O)=CCC1	10	1	13	2	6	2	4	3	4	4	3.58
mol2974	CC=C(COC1CNC1)CC(C)=C	11	1	13	2	4	0	3	2	3	1	4.62
mol2975	CC(CCC=O)C1NN=CC1CO	9	2	13	1	4	1	6	4	3	2	4.09
mol2976	CC12ON=CNC1S(=O)(=O)CC2=O	6	2	13	3	9	1	10	6	5	2	4.09
mol2977	CC(O)C1NC2CNC1(C)C21CN1	9	3	13	0	11	0	5	4	5	2	5.13
mol2978	CC(CC(=C)OC(=O)C#N)=CCO	9	0	13	3	0	0	7	4	0	0	4.00
mol2979	CC1C#CC2OCC2NN=CN1C	9	3	13	0	10	1	5	4	7	4	4.24
mol2980	CC1OC1CCCOC(=C)CC#N	10	0	13	1	3	0	5	3	1	2	4.89
mol2981	CC1=C(C(=C)NN=C)C(SN1)=NO	7	1	13	3	3	2	6	5	2	3	3.54
mol2982	CNC1(CS(=O)(=O)C1C)C=NOC	7	0	13	3	4	0	8	5	1	1	4.55
mol2983	NC1CNCCCC(N)C2(N)CC12	9	1	13	0	11	0	4	4	6	3	5.00
mol2984	CC1=CC2NC3C2C2CC3(C)C12	11	1	12	0	12	1	1	1	3	6	4.25
